Country,count,capital,latitude,longitude
朝鲜,645,王京,37.566536,126.977966
琉球,254,首里,26.2168361991869,127.715698622738
泰宁,143,兴城,40.6148021238958,120.736240945686
占城,146,僧伽补罗,11.5733548033653,108.989694658207
安南,141,河内,21.035847086272,105.807735494038
爪哇,68,满者伯夷,-7.54201175682804,112.390993752475
福余,63,扶余,44.9889904121862,126.046840877544
暹罗,62,阿瑜陀耶,14.3641159208915,100.544505285925
高丽,42,开京,37.9598590805264,126.613429551569
日本,41,京都,35.011635,135.768036
满剌加,31,马六甲,2.23018316928585,102.221540775854
灌顶,33,烈伍栋,29.2254613510501,91.761971148597
真腊,19,伊奢那城,12.8712472575622,105.045357934589
苏门答剌,13,八昔,3.59545017505497,98.6833458223574
哈密,113,哈密,42.8742955101925,93.5372163770975
三佛齐,9,巨港,-2.97519526361101,104.77360486681
榜葛剌,8,茶那咭,22.335,91.8325
大理,27,大理城,25.6085168020088,100.267872254089
西洋,12,滕卡西,8.97,77.32
浡泥,6,渤泥城,4.52986403059245,114.64076115153
古里,6,科泽科德,11.15,75.46
渤利,5,班达亚齐,5.55709283152709,95.3163007398358
阿鲁,29,Kota Rentang,3.70951208149303,98.6004371022432
忽鲁谟斯,4,霍尔木兹,27.095,56.452778
锡兰山,4,甘波罗,7.16489232095539,80.576667
瓦剌,62,阿尔泰,49.194047139056,89.07698218688
阿丹,3,亚丁,12.8,45.033333
柯枝,3,戈奇,9.97,76.28
加异勒,3,加异勒,8.396871786098,78.0586819024064
朵颜,109,翁牛特旗,42.933333,119.033333
巴里,5,巴里,41.1253,16.8667
不剌哇,2,巴拉韦,1.113333,44.030278
剌撒,3,木卡拉,14.5409027468957,49.1269501378298
祖法儿,2,祖法儿,17.0100454427205,54.1346116735749
溜山,2,马尔代夫,-0.607752836355801,73.0947577021248
甘巴里,2,科摩林角,8.084,77.546
琐里,2,蒂鲁内尔维利,8.72255810405396,77.7577816694566
娑罗,2,娑罗,26.73917,83.89066
尼八剌,4,加德满都,27.72,85.37
苏禄,2,霍洛岛,6.02644911797089,120.961412798158
佛菻,1,君士坦丁堡,41.0205258765121,28.9819328095665
葛达,1,巴格达,33.3207882201907,44.3641353059396
木骨都束,1,摩加迪沙,2.033333,45.333333
葛兰,1,葛兰,8.88,76.6
淡巴,1,淡巴,3.03544921833606,102.721410354829
鞑靼,8,哈拉和林,47.210278,102.847778
彭亨,1,关丹,3.82,103.33
百花,1,巴查查兰,-6.9259409653741,107.773978735995
阇婆,1,阇婆,-6.96245219938902,110.289433518326
婆罗,1,斯里巴加湾市,4.890283,114.942217
古麻,1,古麻,8,125
耽罗,1,济州城,33.4998231176979,126.531296380039